Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,Adam,0.9897286,0.96606445,33,7.742143812179566
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGD,0.9922921,0.9667969,23,7.714469027519226
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGDM,0.9940011,0.96728516,32,7.714621253013611
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,Adam,0.8624965,0.8613281,0,9.9596905708313
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,Adam,0.8629674,0.8597412,0,7.549131393432617
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGDM,0.9086914,0.9029541,0,7.5703089237213135
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGDM,0.90799385,0.9033203,0,7.852416038513184
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGD,0.9078369,0.90185547,0,7.553023815155029
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGD,0.90748817,0.90319824,0,7.440587997436523
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,Adam,0.9488177,0.94091797,2,8.599059502283732
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,SGD,0.9538923,0.9449463,2,7.4125157197316485
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,SGDM,0.95532227,0.94592285,0,7.4333914915720625
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,Adam,0.97527206,0.9641113,0,7.586763501167297
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,SGDM,0.9755336,0.9645996,1,7.615750193595886
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,SGD,0.97535926,0.96435547,0,7.531591176986694
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,Adam,0.986363,0.9671631,1,7.526930093765259
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,SGD,0.9862584,0.9667969,1,7.412436405817668
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,SGDM,0.98648506,0.96691895,2,7.433313528696696
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,Adam,0.9722726,0.96240234,1,7.730346441268921
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,SGDM,0.97445244,0.9638672,0,8.50636887550354
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,SGD,0.97445244,0.9647217,1,7.692271590232849
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,Adam,0.98385185,0.96569824,2,7.40718936920166
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,SGD,0.9852992,0.9661865,0,7.36036475499471
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,SGDM,0.9855085,0.9661865,1,7.407135645548503
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,Adam,0.9983956,0.97558594,18,7.723285102844239
