,Epoch,Train_loss,Test_loss,Time
0,0,0.9970878,0.9633789,7.377866744995117
1,2,0.99714005,0.963501,7.50001859664917
2,4,0.9971052,0.9630127,7.5028369426727295
3,6,0.9971924,0.96325684,7.365462779998779
4,8,0.99712265,0.9637451,7.618356227874756
5,10,0.99712265,0.96362305,7.453082799911499
6,12,0.9971749,0.9633789,7.5625152587890625
7,14,0.9970878,0.9633789,7.343766450881958
8,16,0.99705285,0.96325684,7.500017404556274
9,18,0.9971749,0.96313477,7.45308780670166
10,20,0.9970703,0.96325684,7.499955415725708
11,22,0.99714005,0.96325684,7.468767881393433
12,24,0.9970878,0.9630127,7.781281232833862
13,26,0.9971575,0.9633789,7.45314359664917
14,28,0.9972796,0.96313477,7.468699932098389
15,30,0.9971575,0.96313477,7.396633625030518
16,32,0.9971575,0.9633789,7.478503704071045
17,34,0.9972796,0.96325684,7.359387397766113
18,36,0.9971575,0.96313477,7.6094465255737305
19,38,0.997297,0.96313477,7.3772666454315186
20,40,0.9971575,0.96313477,7.546893119812012
21,42,0.99714005,0.96325684,7.392800569534302
22,44,0.99720985,0.9628906,7.320668697357178
23,46,0.99720985,0.96325684,7.390641450881958
24,48,0.9970878,0.96313477,7.4587483406066895
25,50,0.99712265,0.96325684,7.503235340118408
26,52,0.99712265,0.96325684,7.382323980331421
27,54,0.9971749,0.9628906,7.406270980834961
28,56,0.9971924,0.96325684,7.375012159347534
29,58,0.9971052,0.96325684,7.8310546875
30,60,0.99712265,0.96313477,7.578142166137695
31,62,0.9972447,0.96313477,7.609325885772705
32,64,0.99705285,0.96313477,7.453203916549683
33,66,0.9971575,0.96325684,7.389408349990845
34,68,0.9971575,0.96313477,7.4218902587890625
35,70,0.9971575,0.9630127,7.468759536743164
36,72,0.99712265,0.9630127,7.50841498374939
37,74,0.9970878,0.96313477,7.437516689300537
38,76,0.9971749,0.9630127,7.891066551208496
39,78,0.99714005,0.96325684,7.953143119812012
40,80,0.99705285,0.96325684,7.828084707260132
41,82,0.9970878,0.9633789,7.937516450881958
42,84,0.99714005,0.96313477,9.546900987625122
43,86,0.9971575,0.96276855,14.22063684463501
44,88,0.9971052,0.9630127,8.609391689300537
45,90,0.99714005,0.96325684,8.703147172927856
46,92,0.99712265,0.9633789,8.140646934509277
47,94,0.9971924,0.96325684,7.984395980834961
48,96,0.99720985,0.96325684,8.171891689300537
49,98,0.9971924,0.9633789,7.875017166137695
