,Epoch,Train_loss,Test_loss,Time
0,0,0.99705285,0.96325684,8.208726167678833
1,2,0.9971749,0.9633789,7.548699140548706
2,4,0.99705285,0.963501,7.592747688293457
3,6,0.9971052,0.96325684,8.20392370223999
4,8,0.9970703,0.9633789,7.535834550857544
5,10,0.9970703,0.9633789,7.406316518783569
6,12,0.99714005,0.963501,7.561468839645386
7,14,0.99714005,0.96325684,7.447969675064087
8,16,0.9970878,0.9630127,7.671488523483276
9,18,0.9970878,0.96325684,7.475679397583008
10,20,0.9970878,0.963501,7.531214237213135
11,22,0.99712265,0.9633789,7.475208282470703
12,24,0.99714005,0.96325684,7.437518119812012
13,26,0.99712265,0.9633789,7.6719441413879395
14,28,0.99712265,0.96325684,7.433248043060303
15,30,0.99714005,0.96325684,7.628143072128296
16,32,0.9970878,0.96325684,7.5069050788879395
17,34,0.99703544,0.96325684,7.42182731628418
18,36,0.9971749,0.96325684,8.14064359664917
19,38,0.9970006,0.9633789,7.4531426429748535
20,40,0.99720985,0.96313477,7.296891212463379
21,42,0.9970703,0.96313477,7.484330177307129
22,44,0.9971749,0.9633789,7.5312652587890625
23,46,0.9971749,0.96313477,7.462621212005615
24,48,0.9971575,0.96325684,7.703140020370483
25,50,0.9971924,0.96313477,7.464581489562988
26,52,0.9971052,0.9630127,7.562516212463379
27,54,0.9970703,0.96325684,7.521329402923584
28,56,0.9970878,0.96313477,7.453143119812012
29,58,0.9971052,0.96313477,7.523033142089844
30,60,0.9970006,0.96325684,7.397315740585327
31,62,0.99705285,0.96325684,7.505694389343262
32,64,0.9971052,0.96325684,7.468900203704834
33,66,0.9971749,0.9633789,7.546895742416382
34,68,0.9970878,0.9630127,7.490751266479492
35,70,0.9970878,0.96313477,7.546841144561768
36,72,0.9971575,0.96313477,7.4063169956207275
37,74,0.9970878,0.96313477,7.596738815307617
38,76,0.99705285,0.96313477,7.453139781951904
39,78,0.99714005,0.96325684,7.359390735626221
40,80,0.99703544,0.96313477,8.015645742416382
41,82,0.9971575,0.9633789,7.531328916549683
42,84,0.9971052,0.96313477,7.406266689300537
43,86,0.9971052,0.96313477,7.4999542236328125
44,88,0.9970878,0.96325684,7.343763828277588
45,90,0.9971575,0.96325684,7.631024360656738
46,92,0.9971749,0.96325684,7.484445571899414
47,94,0.99705285,0.963501,7.546894311904907
48,96,0.99712265,0.9630127,7.31157112121582
49,98,0.9971052,0.9633789,7.875016927719116
