,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
36,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,0.9996745,0.5546875,25,91.13084977149964,orthogonal_,kan_4layers,9000,0.0012223123200171056
37,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGDM,0.9999593,0.55029297,25,96.0791056251526,kaiming_normal,kan_4layers,9000,0.0012126285103771105
38,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGDM,0.99957275,0.5539551,37,102.9726106262207,orthogonal_,kan_4layers,9000,0.000835214694386906
39,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGD,1.0,0.5534668,5,83.08715511798859,kaiming_normal,kan_4layers,9000,0.00528503030906938
40,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGD,0.9996338,0.55371094,4,91.7679076910019,orthogonal_,kan_4layers,9000,0.0063448339095243935
41,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,Adam,0.9999797,0.54992676,48,116.29105520248413,kaiming_normal,kan_4layers,9000,0.0006430073414284966
42,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,Adam,0.9995524,0.553833,45,91.06510636329651,orthogonal_,kan_4layers,9000,0.0006898078874192921
43,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGDM,0.99920654,0.5362549,45,95.30380010128022,kaiming_normal,kan_4layers,9000,0.0006679140818391893
44,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGDM,0.9984741,0.538208,33,102.79795844554901,orthogonal_,kan_4layers,9000,0.0009069396518933384
45,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGD,0.9999593,0.55078125,25,83.11682784557343,kaiming_normal,kan_4layers,9000,0.0012137044867775485
46,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,SGD,0.99957275,0.55371094,10,91.51883407592773,orthogonal_,kan_4layers,9000,0.002884015413420179
50,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,Adam,0.7531128,0.50109863,0,27.63565559864044,orthogonal_,mlp_2layers,9000,0.03693228605197107
51,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGDM,0.7148234,0.5057373,8,27.830946888923645,orthogonal_,mlp_2layers,9000,0.00414157424695935
52,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGD,0.7659505,0.49084473,6,27.85978771686554,orthogonal_,mlp_2layers,9000,0.00516807809599779
53,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,Adam,0.63771564,0.48168945,32,28.240168313980103,orthogonal_,mlp_2layers,9000,0.0010758114688928675
54,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,SGDM,0.70170087,0.5332031,33,28.6507386636734,orthogonal_,mlp_2layers,9000,0.0011558373491202564
