,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,AvgGenError,ModelType,ID,Efficiency
32,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,Adam,0.99763995,0.5270996,49,22.434506750106813,orthogonal_,0.3345076562,kan_3layers,9000,0.000633072766939038
33,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.645874,0.51049805,24,22.483513488769532,kaiming_normal,0.0636682148,kan_3layers,9000,0.0012262669637028122
34,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.6484782,0.52404785,18,22.410860323905943,kaiming_uniform,0.0628808602,kan_3layers,9000,0.0016563354310624146
35,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.63694257,0.52697754,25,22.382775225639342,orthogonal_,0.0728275514,kan_3layers,9000,0.0012171657054310025
36,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGD,0.9995117,0.53222656,21,22.392704205513,kaiming_normal,0.46833495659999996,kan_3layers,9000,0.0014527965914258381
37,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGD,0.9995117,0.53100586,11,22.674394273757933,kaiming_uniform,0.46999431099999994,kan_3layers,9000,0.002657351579055169
38,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGD,0.99902344,0.52819824,34,22.537941217422485,orthogonal_,0.47309895760000004,kan_3layers,9000,0.0009062746972546423
39,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,1.0,0.5338135,37,24.009765586853028,kaiming_normal,0.4681901142000001,kan_4layers,9000,0.0008048466008564678
40,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,1.0,0.541626,12,23.956427812576294,kaiming_uniform,0.46126953420000005,kan_4layers,9000,0.0023870598585386724
41,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,1.0,0.53308105,40,24.06322786808014,orthogonal_,0.4705472866,kan_4layers,9000,0.0007449318544906474
42,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGDM,0.99662274,0.52856445,26,24.078835158348085,kaiming_normal,0.4690885402,kan_4layers,9000,0.0011216086346990306
43,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGDM,0.9965413,0.5350342,44,24.047649402618408,kaiming_uniform,0.4628877756,kan_4layers,9000,0.0006812024288572053
44,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGDM,0.9963379,0.5201416,47,24.04184067726135,orthogonal_,0.476564131,kan_4layers,9000,0.0006208511786542214
45,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGD,1.0,0.53393555,6,23.871959824562072,kaiming_normal,0.46775878800000004,kan_4layers,9000,0.004370166219039123
46,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGD,1.0,0.5418701,15,23.819320645332336,kaiming_uniform,0.4601513688,kan_4layers,9000,0.0019403602226536819
47,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,SGD,1.0,0.5324707,0,23.97946367263794,orthogonal_,0.46946942039999995,kan_4layers,9000,0.03050723680110231
48,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,Adam,0.9800822,0.5205078,36,23.994797663688658,kaiming_normal,0.34551147579999997,kan_4layers,9000,0.0008059956092506428
49,CIFAR,backprop,kan,4layers,2048,0.005,98,38040084,Adam,0.97906494,0.5313721,19,24.04133430957794,kaiming_uniform,0.34363891280000003,kan_4layers,9000,0.0015222146950244417
